stream_uid,delivery_stream,type,timestamp,context_data,context_data_type,date_created,status,assistant_id,record_id
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1921,120124973024625,"{""attached"":true}",2,1633053056.2552,1,unknown,9D221D49-F63B-45CD-A2A1-F6B32E8697D5
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120125472836208,,0,1633053056.30606,1,unknown,A05A9544-2D94-4C77-8E18-398792556EF9
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1436,120125667881625,,0,1633053056.30606,1,unknown,6743E265-FD07-48C5-BBB1-DDDE557E12FA
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1436,120125667883666,,0,1633053056.30607,1,unknown,AFD20FE4-A2C6-431D-8C49-AC4C48F0D824
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120125472833958,,0,1633053056.30607,1,unknown,D8A15712-ECED-4E27-9D6C-062D44E23545
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1920,120124972982291,,0,1633053056.30607,1,unknown,9EE05F9D-6EBA-44DF-AD80-37B97DE7D014
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120125472819416,,0,1633053056.30607,1,unknown,ECD080E0-538E-423E-A0A4-4EBB63680C9C
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1411,120125098607375,"{""eventSource"":""SiriButtonIdentifierLongPressLockButton""}",2,1633053056.30608,1,unknown,5452D877-C551-4E6D-9AF3-7A7DD3DC682A
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1436,120125667873250,,0,1633053056.30608,1,unknown,6474C1E4-8D90-4260-A260-86C3648FD0A1
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1410,120124969345375,"{""eventSource"":""SiriButtonIdentifierLongPressLockButton""}",2,1633053056.30608,1,unknown,2BB6DC24-DC0C-4F58-AE0D-AFAA0CABB4E2
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,6101,120307684811333,"{""error"":{""code"":4005,""domain"":""kAFAssistantErrorDomain""}}",2,1633053239.14242,1,unknown,4B3DA3CD-D441-414E-A1F6-A7865DA375B0
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120643420132708,,0,1633053574.91478,1,unknown,4B3B1F5C-940A-4DAE-B6CC-61F666265E44
